#1:k(h/Mpc)	2:d_g	3:d_b	4:d_cdm	5:d_ur	6:d_tot	7:phi	8:psi	9:t_g	10:t_b	11:t_cdm	12:t_ur	13:t_tot
0.0001315582542307	0.0	-1.2	-1.2043117513314008	0.0	-1.1994977253560801	0.5998989355953281	0.5998989355953281	0.0	0.0	2.0766817054396888e-07	0.0	2.0683805328725296e-07
0.0001656220293823	0.0	-1.2	-1.2043153996486726	0.0	-1.1995013590898407	0.5998989335041304	0.5998989335041304	0.0	0.0	3.291318693549891e-07	0.0	3.278162221675984e-07
0.0002085057815424	0.0	-1.2	-1.2043211818418973	0.0	-1.1995071181697574	0.5998989301897899	0.5998989301897899	0.0	0.0	5.216388580807858e-07	0.0	5.195536978141345e-07
0.0002624932268897	0.0	-1.2	-1.204330346000495	0.0	-1.199516245696231	0.5998989249369423	0.5998989249369423	0.0	0.0	8.267418723760564e-07	0.0	8.234371160751205e-07
0.0003304593937553	0.0	-1.2	-1.2043448702130015	0.0	-1.1995307118507337	0.5998989166117503	0.5998989166117503	0.0	0.0	1.3102975586213753e-06	0.0	1.3050598728845808e-06
0.0004160237283646	0.0	-1.2	-1.2043678895382282	0.0	-1.1995536391602264	0.5998989034172818	0.5998989034172818	0.0	0.0	2.076681663600726e-06	0.0	2.0683804912008104e-06
0.0005237428435475	0.0	-1.2	-1.2044043727094138	0.0	-1.1995899764963045	0.5998988825056044	0.5998988825056044	0.0	0.0	3.2913185884547472e-06	0.0	3.2781621170009393e-06
0.0006593531749873	0.0	-1.2	-1.2044621946373169	0.0	-1.1996475672911453	0.5998988493632216	0.5998988493632216	0.0	0.0	5.216388316815765e-06	0.0	5.1955367152045135e-06
0.0008300764673387	0.0	-1.2	-1.2045538362128982	0.0	-1.1997388425455273	0.5998987968370582	0.5998987968370582	0.0	0.0	8.267418060655098e-06	0.0	8.234370500296388e-06
0.001045004358465	0.0	-1.2	-1.2046990783113205	0.0	-1.1998835040640177	0.5998987135911389	0.5998987135911389	0.0	0.0	1.3102973920595413e-05	0.0	1.3050597069885485e-05
0.001315582542307	0.0	-1.2	-1.204929271497045	0.0	-1.2001127770926698	0.5998985816613964	0.5998985816613964	0.0	0.0	2.0766812452268728e-05	0.0	2.0683800744993338e-05
0.001656220293823	0.0	-1.2	-1.205294103041415	0.0	-1.2004761502866341	0.5998983725822642	0.5998983725822642	0.0	0.0	3.2913175375901974e-05	0.0	3.278161070337037e-05
0.002085057815424	0.0	-1.2	-1.2058723219001475	0.0	-1.2010520578164252	0.5998980412529181	0.5998980412529181	0.0	0.0	5.216385677335304e-05	0.0	5.195534086274915e-05
0.002624932268897	0.0	-1.2	-1.2067887366002692	0.0	-1.2019648093087723	0.5998975162285829	0.5998975162285829	0.0	0.0	8.26741143123609e-05	0.0	8.234363897377326e-05
0.003304593937553	0.0	-1.2	-1.2082411549330594	0.0	-1.2034114218528427	0.5998966843653862	0.5998966843653862	0.0	0.0	0.00013102957270878595	0.0	0.00013050580486723005
0.004160237283646	0.0	-1.2	-1.2105430801323886	0.0	-1.2057041455080613	0.5998953665644189	0.5998953665644189	0.0	0.0	0.00020766770640543206	0.0	0.00020683759100402892
0.005237428435475	0.0	-1.2	-1.2141913788606804	0.0	-1.2093378607991123	0.5998932795300292	0.5998932795300292	0.0	0.0	0.00032913070391254486	0.0	0.0003278150613838068
0.006593531749873	0.0	-1.2	-1.2199735254937105	0.0	-1.215096894310433	0.5998899756651815	0.5998899756651815	0.0	0.0	0.0005216359322954129	0.0	0.0005195507837240777
0.008300764673387	0.0	-1.2	-1.2291375672421112	0.0	-1.2242243044018173	0.5998847490725492	0.5998847490725492	0.0	0.0	0.0008267345297926106	0.0	0.0008234298028423701
0.01045004358465	0.0	-1.2	-1.243661486709618	0.0	-1.2386901670368613	0.5998764897177982	0.5998764897177982	0.0	0.0	0.0013102791413278896	0.0	0.0013050415292110104
0.01315582542307	0.0	-1.2	-1.2666800779880427	0.0	-1.2616167455152718	0.5998634600873561	0.5998634600873561	0.0	0.0	0.0020766355063554483	0.0	0.0020683345184610625
0.01656220293821	0.0	-1.2	-1.3031614138300152	0.0	-1.2979522535861847	0.5998429604052173	0.5998429604052173	0.0	0.0	0.0032912030620387755	0.0	0.0032780470523816464
0.02085057798751	0.0	-1.2	-1.3609787617455895	0.0	-1.3555384867473095	0.599810844742799	0.599810844742799	0.0	0.0	0.005216099683461715	0.0	0.0051952492356119075
0.02624919587758	0.0	-1.2	-1.4526065707730857	0.0	-1.4468000296047443	0.5997608669236225	0.5997608669236225	0.0	0.0	0.008266619826999118	0.0	0.008233575457440091
0.0330283993405	0.0	-1.2	-1.5974054235654913	0.0	-1.5910200742623222	0.5996841112016826	0.5996841112016826	0.0	0.0	0.01308729242102566	0.0	0.013034978254372562
0.04101903307778	0.0	-1.2	-1.8105840157772448	0.0	-1.8033465222687608	0.5995758313318259	0.5995758313318259	0.0	0.0	0.02018438013122338	0.0	0.020103696595469425
0.04775953346591	0.0	-1.2	-2.026161445073778	0.0	-2.0180622184275254	0.59947171353733	0.59947171353733	0.0	0.0	0.027361217735324354	0.0	0.027251846044191525
0.05264729452353	0.0	-1.2	-2.2029416349913205	0.0	-2.194135760398434	0.599390120692726	0.599390120692726	0.0	0.0	0.03324636817337226	0.0	0.03311347162080209
0.05667735402054	0.0	-1.2	-2.361633730887037	0.0	-2.3521935123455218	0.5993196202199427	0.5993196202199427	0.0	0.0	0.03852929378337459	0.0	0.038375279657979836
0.06027533618215	0.0	-1.2	-2.5131866629179678	0.0	-2.5031406379890067	0.5992545957641099	0.5992545957641099	0.0	0.0	0.04357450449568615	0.0	0.0434003230212697
0.06363090491853	0.0	-1.2	-2.662922555421484	0.0	-2.652277987403366	0.5991924603550486	0.5991924603550486	0.0	0.0	0.04855918043243248	0.0	0.048365073586191396
0.06684441534581	0.0	-1.2	-2.813912260781038	0.0	-2.8026641377757633	0.5991318327699585	0.5991318327699585	0.0	0.0	0.053585551583797394	0.0	0.053371352696390456
0.06997602752001	0.0	-1.2	-2.968200051350002	0.0	-2.9563351898377315	0.5990718908868732	0.5990718908868732	0.0	0.0	0.058721670445375046	0.0	0.0584869408194906
0.07306525165051	0.0	-1.2	-3.1273099227320316	0.0	-3.114809047286561	0.5990121077150361	0.5990121077150361	0.0	0.0	0.06401826787120124	0.0	0.06376236602179532
0.0761399293559	0.0	-1.2	-3.2924847041340377	0.0	-3.279323571336384	0.5989521283871292	0.5989521283871292	0.0	0.0	0.0695167134965981	0.0	0.06923883257073188
0.07922083021269	0.0	-1.2	-3.464811685558152	0.0	-3.450961705737369	0.5988917067532515	0.5988917067532515	0.0	0.0	0.0752531980658152	0.0	0.07495238654436796
0.08232420556971	0.0	-1.2	-3.6452946080062114	0.0	-3.630723179211933	0.5988306700966182	0.5988306700966182	0.0	0.0	0.0812611300707387	0.0	0.08093630288997593
0.08546330160736	0.0	-1.2	-3.8348980934829795	0.0	-3.8195687578567803	0.598768898302211	0.598768898302211	0.0	0.0	0.08757261485119629	0.0	0.08722255861189251
0.08864930312292	0.0	-1.2	-4.034576953025125	0.0	-4.0184494360181535	0.598706310969358	0.598706310969358	0.0	0.0	0.09421943025114184	0.0	0.09384280452768819
0.09189194743757	0.0	-1.2	-4.245296755920321	0.0	-4.2283269232890675	0.5986428591260812	0.5986428591260812	0.0	0.0	0.10123371133945092	0.0	0.10082904725191091
0.09519993776186	0.0	-1.2	-4.468049138451754	0.0	-4.45018889205979	0.598578519718718	0.598578519718718	0.0	0.0	0.1086484599965055	0.0	0.10821415674568732
0.09858122959333	0.0	-1.2	-4.703863844595173	0.0	-4.685060970084301	0.5985132918222162	0.5985132918222162	0.0	0.0	0.11649794569883344	0.0	0.11603226549929567
0.1020432338621	0.0	-1.2	-4.953818688852288	0.0	-4.934016663489006	0.5984471939337986	0.5984471939337986	0.0	0.0	0.12481803712593714	0.0	0.12431909881345408
0.105592963791	0.0	-1.2	-5.219048178108063	0.0	-5.198185944165659	0.5983802619474735	0.5983802619474735	0.0	0.0	0.13364648912231933	0.0	0.13311226061426568
0.1092371426596	0.0	-1.2	-5.500751263126818	0.0	-5.478762970282216	0.5983125475459375	0.5983125475459375	0.0	0.0	0.14302320068305227	0.0	0.14245149040753555
0.1129822837582	0.0	-1.2	-5.800198528891105	0.0	-5.777013247879581	0.598244116831825	0.598244116831825	0.0	0.0	0.15299045425757718	0.0	0.15237890162599496
0.1168347501505	0.0	-1.2	-6.118739032871095	0.0	-6.09428044180621	0.5981750490755161	0.5981750490755161	0.0	0.0	0.1635931433333148	0.0	0.16293920830318634
0.1208007995279	0.0	-1.2	-6.457806937244947	0.0	-6.4319929814273324	0.5981054354945057	0.5981054354945057	0.0	0.0	0.1748789931610805	0.0	0.17417994491656685
0.1248866179252	0.0	-1.2	-6.818928041845935	0.0	-6.791670567457764	0.598035378005471	0.598035378005471	0.0	0.0	0.18689877817757014	0.0	0.1861516829408859
0.1290983450694	0.0	-1.2	-7.203726300881849	0.0	-7.174930662631863	0.5979649879124785	0.5979649879124785	0.0	0.0	0.19970653889010842	0.0	0.1989082468659747
0.1334420934736	0.0	-1.2	-7.613930394107653	0.0	-7.583495036609069	0.5978943845095736	0.5978943845095736	0.0	0.0	0.2133598005769441	0.0	0.212506932022825
0.1379239629445	0.0	-1.2	-8.051380418709345	0.0	-8.019196431108124	0.5978236935916564	0.5978236935916564	0.0	0.0	0.22791979600887644	0.0	0.22700872641492495
0.142550051882	0.0	-1.2	-8.518034770879316	0.0	-8.48398541397454	0.5977530458787551	0.5977530458787551	0.0	0.0	0.2434516944882847	0.0	0.24247853884174486
0.1473264665541	0.0	-1.2	-9.015977294021162	0.0	-8.979937498811712	0.5976825753694585	0.5976825753694585	0.0	0.0	0.26002483976615554	0.0	0.258985435864733
0.1522593294067	0.0	-1.2	-9.547424783969205	0.0	-9.509260620199619	0.5976124176473404	0.5976124176473404	0.0	0.0	0.2777129998449125	0.0	0.27660289061160176
0.1573547873875	0.0	-1.2	-10.11473495966936	0.0	-10.074303072514308	0.5975427081710554	0.5975427081710554	0.0	0.0	0.29659463227565774	0.0	0.29540904701308995
0.1626190212143	0.0	-1.2	-10.720415030661474	0.0	-10.677562043163206	0.597473580582455	0.597473580582455	0.0	0.0	0.3167531693200014	0.0	0.31548700382490774
0.1680582564854	0.0	-1.2	-11.367131019937622	0.0	-11.32169289817691	0.5974051650697224	0.5974051650697224	0.0	0.0	0.3382773282528027	0.0	0.3369251236900965
0.1736787775114	0.0	-1.2	-12.057718032965264	0.0	-12.009519410183733	0.597337586821397	0.597337586821397	0.0	0.0	0.36126145315397334	0.0	0.3598173735645791
0.1794869447334	0.0	-1.2	-12.79519170047062	0.0	-12.744045155452541	0.5972709646053835	0.5972709646053835	0.0	0.0	0.38580589576227503	0.0	0.38426370404856125
0.1854892165853	0.0	-1.2	-13.582761064931997	0.0	-13.528466348874574	0.5972054095022041	0.5972054095022041	0.0	0.0	0.41201744437343124	0.0	0.41037047657019743
0.1916921766519	0.0	-1.2	-14.423843228606765	0.0	-14.36618643343749	0.5971410238159659	0.5971410238159659	0.0	0.0	0.4400098113580763	0.0	0.43825094895477257
0.1981025669786	0.0	-1.2	-15.322080136128015	0.0	-15.260832795736526	0.5970779001800366	0.5970779001800366	0.0	0.0	0.46990419171252445	0.0	0.4680258317427614
0.2047273284017	0.0	-1.2	-16.281357928171463	0.0	-16.216276042278498	0.5970161208662846	0.5970161208662846	0.0	0.0	0.5018299071674175	0.0	0.49982392972376477
0.2115736488004	0.0	-1.2	-17.305829377043278	0.0	-17.23665234538727	0.5969557573008438	0.5969557573008438	0.0	0.0	0.5359251528538712	0.0	0.5337828856179881
